1.0e7	2.8359468288508494e20
1.1513953993264457e7	2.548513824520205e20
1.3257113655901054e7	2.2873139688077902e20
1.5264179671752365e7	2.0501533520341762e20
1.757510624854793e7	1.8350202912915682e20
2.0235896477251556e7	1.6400616179261774e20
2.3299518105153717e7	1.4635646872555238e20
2.6826957952797275e7	1.3039457902012328e20
3.0888435964774847e7	1.1597430061916168e20
3.556480306223129e7	1.0296105643147679e20
4.094915062380419e7	9.123125632890457e19
4.71486636345739e7	8.0671539756728e19
5.42867543932386e7	7.117795824452404e19
6.250551925273976e7	6.265523675554228e19
7.196856730011514e7	5.501621614533016e19
8.286427728546843e7	4.818144613423302e19
9.540954763499963e7	4.207876734984229e19
1.0985411419875617e8	3.6642703474533274e19
1.2648552168552957e8	3.181359917776012e19
1.4563484775012442e8	2.7536607493947634e19
1.676832936811003e8	2.3760749073647596e19
1.9306977288832456e8	2.043826631242848e19
2.2229964825261912e8	1.7524368922765103e19
2.559547922699533e8	1.4977282348329265e19
2.9470517025518095e8	1.275838436252389e19
3.39322177189533e8	1.0832227075646433e19
3.906939937054621e8	9.166364356729799e18
4.498432668969453e8	7.731040550941908e18
5.179474679231202e8	6.498867849948356e18
5.963623316594636e8	5.444612409594411e18
6.866488450043026e8	4.5451479080674964e18
7.906043210907701e8	3.779552303059845e18
9.10298177991519e8	3.129253218799707e18
1.0481131341546874e9	2.578101208516103e18
1.2067926406393263e9	2.1122813654578788e18
1.389495494373136e9	1.7200470286447552e18
1.5998587196060574e9	1.3913380421485683e18
1.8420699693267164e9	1.1173909759306671e18
2.1209508879201925e9	8.904389730166954e17
2.4420530945486546e9	7.03545219404097e17
2.8117686979742365e9	5.505513481516087e17
3.23745754281764e9	4.260829212869614e17
3.727593720314938e9	3.255486556607894e17
4.2919342601287785e9	2.4509022570664147e17
4.941713361323818e9	1.8147307296754067e17
5.689866029018305e9	1.3194271354835006e17
6.551285568595523e9	9.40899251858096e16
7.543120063354638e9	6.57616189248472e16
8.685113737513521e9	4.502832441557456e16
1.0e10	3.0192758805626864e16
